coverage_id,business_domain,business_line,legal_entity,segment,product,value_stream,capability,process,organisation,application,authoritative_data/system_of_record,interface,external_network,accounting_event,reconciliation,control,critical_operation,technology_or_resilience_classification,bian_mapping,scenario,chapter,status,gap
HB-COV-011,HB-DOM-060,HB-BL-01,HB-LE-02,HB-SEG-01,HB-PRD-11,HB-VS-04,HB-CAP-060,HB-PROC-08,HB-ORG-28,HB-APP-041,HB-SOR-11,HB-INT-042,HB-EXT-006,HB-ACC-17,HB-REC-017,HB-CTRL-18,HB-CRIT-06,HB-TECH-011,Pending,HB-SCN-10,42,Proposed,"The exact BIAN 14.0 mapping for card authorisation clearing and dispute is unverified; card-domain BIAN records are absent from the mapping register."
HB-COV-012,HB-DOM-060,HB-BL-02,HB-LE-02,HB-SEG-02,HB-PRD-12,HB-VS-04,HB-CAP-060,HB-PROC-08,HB-ORG-28,HB-APP-045,HB-SOR-12,HB-INT-043,HB-EXT-007,HB-ACC-18,HB-REC-020,HB-CTRL-20,HB-CRIT-07,HB-TECH-012,Pending,HB-SCN-11,42,Proposed,"The exact BIAN 14.0 mapping for merchant acquiring is unverified; card-domain BIAN records are absent from the mapping register."
HB-COV-013,HB-DOM-070,HB-BL-02,HB-LE-02,HB-SEG-03,HB-PRD-07,HB-VS-04,HB-CAP-070,HB-PROC-21,HB-ORG-09,HB-APP-047,Pending,HB-INT-072,Pending,Pending,Pending,HB-CTRL-06,HB-CRIT-10,HB-TECH-013,Pending,HB-SCN-12,43,Proposed,"No authoritative cash-structure record system external network accounting event or reconciliation is catalogued. The exact BIAN 14.0 mapping for corporate cash management is also unverified."
HB-COV-014,HB-DOM-070,HB-BL-02,HB-LE-02,HB-SEG-03,HB-PRD-09,HB-VS-10,HB-CAP-070,HB-PROC-06,HB-ORG-30,HB-APP-048,HB-SOR-13,HB-INT-073,HB-EXT-016,HB-ACC-04,HB-REC-021,HB-CTRL-21,HB-CRIT-11,HB-TECH-014,HB-BIAN-04,HB-SCN-03,43,Proposed,"Instrument variants and external time limits remain pending in the scenario catalogue."
HB-COV-015,HB-DOM-080,HB-BL-03,HB-LE-02,HB-SEG-04,HB-PRD-10,HB-VS-06,HB-CAP-080,HB-PROC-09,HB-ORG-10,HB-APP-050,HB-SOR-15,HB-INT-075,HB-EXT-008,HB-ACC-22,HB-REC-023,HB-CTRL-22,HB-CRIT-13,HB-TECH-015,Pending,HB-SCN-13,44,Proposed,"The exact BIAN 14.0 mapping for advice order and portfolio execution is unverified; wealth-domain BIAN records are absent from the mapping register."
HB-COV-016,HB-DOM-090,HB-BL-03,HB-LE-02,HB-SEG-05,HB-PRD-10,HB-VS-06,HB-CAP-090,HB-PROC-10,HB-ORG-30,HB-APP-053,HB-SOR-17,HB-INT-077,HB-EXT-009,HB-ACC-23,HB-REC-026,HB-CTRL-24,HB-CRIT-13,HB-TECH-016,Pending,HB-SCN-14,44,Proposed,"The exact BIAN 14.0 mapping for custody and corporate actions is unverified; securities-domain BIAN records are absent from the mapping register."
HB-COV-017,HB-DOM-100,HB-BL-04,HB-LE-01,HB-SEG-05,Pending,HB-VS-07,HB-CAP-100,HB-PROC-11,HB-ORG-11,HB-APP-056,HB-SOR-18,HB-INT-079,HB-EXT-010,HB-ACC-24,HB-REC-029,HB-CTRL-27,HB-CRIT-14,HB-TECH-017,Pending,HB-SCN-15,45,Proposed,"No product record applies to enterprise liquidity management. The exact BIAN 14.0 mapping for treasury liquidity is unverified and no treasury-domain BIAN record exists."
HB-COV-018,HB-DOM-110,Pending,HB-LE-02,Pending,Pending,HB-VS-09,HB-CAP-110,HB-PROC-05,HB-ORG-12,HB-APP-059,HB-SOR-04; HB-SOR-24,HB-INT-088,HB-EXT-015,Pending,HB-REC-033,HB-CTRL-30,HB-CRIT-17,HB-TECH-020,Pending,HB-SCN-16,46,Proposed,"Business line segment and product are not applicable at the legal-entity close baseline but have no governed not-applicable IDs. No single accounting event represents the full close and return. The exact BIAN 14.0 mapping is unverified."
HB-COV-019,HB-DOM-120,HB-BL-04,HB-LE-01,HB-SEG-05,Pending,HB-VS-07,HB-CAP-120,HB-PROC-12,HB-ORG-13,HB-APP-064,HB-SOR-19,HB-INT-090,Pending,Pending,HB-REC-034,HB-CTRL-33,HB-CRIT-14,HB-TECH-021,Pending,HB-SCN-15,45,Proposed,"The risk view of liquidity has no product external network or single accounting event join. The exact BIAN 14.0 enterprise-risk mapping is unverified."
HB-COV-020,HB-DOM-130,Pending,HB-LE-02,HB-SEG-01,Pending,HB-VS-08,HB-CAP-130,HB-PROC-13,HB-ORG-14,HB-APP-067,HB-SOR-20,HB-INT-091,HB-EXT-012,Pending,HB-REC-035,HB-CTRL-34,HB-CRIT-16,HB-TECH-022,Pending,HB-SCN-17,47,Proposed,"The financial-crime alert spans business lines and products; no single accounting event applies. The exact BIAN 14.0 mapping is unverified and no financial-crime BIAN record exists."
HB-COV-021,HB-DOM-140,Pending,HB-LE-03,Pending,Pending,HB-VS-08,HB-CAP-140,HB-PROC-14,HB-ORG-15,HB-APP-074,HB-SOR-22,HB-INT-060,Pending,Pending,HB-REC-036,HB-CTRL-43,HB-CRIT-20,HB-TECH-024,Pending,HB-SCN-18,48,Proposed,"The shared-operations view spans business lines segments and products. No external network or accounting event applies at this level. The exact BIAN 14.0 operations mapping is unverified."
HB-COV-022,HB-DOM-150,HB-BL-01,HB-LE-02,HB-SEG-01,Pending,HB-VS-08,HB-CAP-150,HB-PROC-15,HB-ORG-07,HB-APP-074,Pending,HB-INT-053,Pending,Pending,Pending,HB-CTRL-36,HB-CRIT-20,HB-TECH-024,Pending,HB-SCN-18,48,Proposed,"The complaint is not product-specific. No dedicated authoritative complaint record external network accounting event or reconciliation is catalogued. The exact BIAN 14.0 mapping is unverified."
HB-COV-023,HB-DOM-160,Pending,HB-LE-03,Pending,Pending,HB-VS-09,HB-CAP-160,HB-PROC-16,HB-ORG-17,HB-APP-082,HB-SOR-24,HB-INT-087,Pending,Pending,HB-REC-033,HB-CTRL-32,HB-CRIT-17,HB-TECH-026,Pending,HB-SCN-16,46,Proposed,"Regulatory-data enablement spans business lines segments and products and has no direct external network or accounting event at this layer. The exact BIAN 14.0 data-management mapping is unverified."
HB-COV-024,HB-DOM-170,Pending,HB-LE-03,Pending,Pending,HB-VS-08,HB-CAP-170,HB-PROC-17,HB-ORG-26,HB-APP-090,HB-SOR-25,HB-INT-099,Pending,Pending,HB-REC-014,HB-CTRL-40,HB-CRIT-18; HB-CRIT-19,HB-TECH-030,Pending,HB-SCN-19,Pending,Proposed,"Cyber recovery spans business lines segments and products and has no single external network or accounting event. The exact BIAN 14.0 resilience mapping is unverified. HB-SCN-19 is outside Chapters 37-48 and has no chapter join here."
HB-COV-025,HB-DOM-180,Pending,HB-LE-03,Pending,Pending,Pending,HB-CAP-180,HB-PROC-18,HB-ORG-19,Pending,Pending,Pending,Pending,Pending,HB-REC-038,Pending,Pending,HB-TECH-029,Pending,Pending,Pending,Proposed,"Business-line segment product value-stream application authoritative-record interface network accounting control critical-operation BIAN 14.0 scenario and chapter joins are not yet catalogued for people suppliers and facilities."
HB-COV-026,HB-DOM-190,Pending,HB-LE-01,Pending,Pending,HB-VS-08,HB-CAP-190,HB-PROC-19,HB-ORG-22,HB-APP-068,Pending,HB-INT-090,Pending,Pending,Pending,Pending,Pending,HB-TECH-023,Pending,Pending,Pending,Proposed,"Business-line segment product authoritative-record external-network accounting reconciliation control critical-operation BIAN 14.0 scenario and chapter joins are not yet governed for legal audit and corporate-secretariat coverage."
